step,train loss,val loss
0,4.8522,4.8452
100,2.4023,2.4217
200,2.3352,2.3535
300,2.1487,2.1754
400,1.9466,1.9769
500,1.7998,1.8273
600,1.6997,1.7210
700,1.6263,1.6427
800,1.5565,1.5733
900,1.5081,1.5302
1000,1.4653,1.4788
1100,1.4307,1.4452
1200,1.3980,1.4149
1300,1.3746,1.3931
1400,1.3544,1.3735
1500,1.3343,1.3431
1600,1.3194,1.3392
1700,1.3036,1.3185
1800,1.2867,1.3077
1900,1.2757,1.2961
2000,1.2658,1.2802
2100,1.2544,1.2730
2200,1.2453,1.2659
2300,1.2379,1.2592
2400,1.2320,1.2525
2500,1.2289,1.2473
2600,1.2156,1.2355
2700,1.2169,1.2344
2800,1.2054,1.2239
2900,1.2023,1.2228
3000,1.1954,1.2202
3100,1.1915,1.2132
3200,1.1854,1.2074
3300,1.1885,1.2130
3400,1.1803,1.1969
3500,1.1745,1.1973
3600,1.1738,1.1955
3700,1.1701,1.1937
3800,1.1634,1.1891
3900,1.1668,1.1901
4000,1.1610,1.1855
4100,1.1570,1.1823
4200,1.1553,1.1782
4300,1.1522,1.1775
4400,1.1491,1.1713
4500,1.1471,1.1723
4600,1.1459,1.1714
4700,1.1435,1.1707
4800,1.1440,1.1673
4900,1.1397,1.1657
5000,1.1362,1.1610
5100,1.1349,1.1591
5200,1.1325,1.1567
5300,1.1307,1.1518
5400,1.1282,1.1565
5500,1.1293,1.1523
5600,1.1283,1.1535
5700,1.1296,1.1557
5800,1.1238,1.1481
5900,1.1234,1.1508
6000,1.1217,1.1480
6100,1.1186,1.1459
6200,1.1160,1.1425
6300,1.1157,1.1455
6400,1.1129,1.1413
6500,1.1152,1.1381
6600,1.1123,1.1402
6700,1.1134,1.1417
6800,1.1128,1.1395
6900,1.1084,1.1371
7000,1.1059,1.1372
7100,1.1078,1.1356
7200,1.1032,1.1315
7300,1.1042,1.1353
7400,1.1016,1.1325
7500,1.1031,1.1336
7600,1.1009,1.1333
7700,1.1009,1.1286
7800,1.0978,1.1279
7900,1.0968,1.1250
8000,1.0972,1.1304
8100,1.0947,1.1281
8200,1.0968,1.1269
8300,1.0934,1.1244
8400,1.0953,1.1244
8500,1.0922,1.1228
8600,1.0900,1.1221
8700,1.0876,1.1218
8800,1.0882,1.1202
8900,1.0864,1.1198
9000,1.0856,1.1176
9100,1.0878,1.1184
9200,1.0862,1.1173
9300,1.0863,1.1128
9400,1.0878,1.1130
9500,1.0873,1.1161
9600,1.0837,1.1151
9700,1.0834,1.1108
9800,1.0791,1.1090
9900,1.0805,1.1128
9999,1.0786,1.1111
